Date,High,Low,Open,Status,DateTime,year,month,day,30d_avg,Std,RSI,Williams %R
04/06/2016,684.0,684.0,684.0,1,2016-04-06,2016,4,6,640.4,40.50338427750425,64.29760659423054,-0.0
04/10/2016,680.0,680.0,680.0,-1,2016-04-10,2016,4,10,643.1333333333333,40.30977748536557,62.36843003767413,-15.384615384615383
04/11/2016,583.0,583.0,583.0,-1,2016-04-11,2016,4,11,643.0666666666667,40.41076447009653,34.96845952081206,-100.0
04/12/2016,576.0,576.0,576.0,-1,2016-04-12,2016,4,12,642.6,41.119338516081996,33.81396372667534,-100.0
04/14/2016,560.0,560.0,560.0,-1,2016-04-14,2016,4,14,641.2666666666667,43.14684895461994,31.272493688612872,-100.0
04/17/2016,602.0,602.0,602.0,1,2016-04-17,2016,4,17,641.8333333333334,42.489011425945975,43.31623895517534,-66.12903225806451
04/18/2016,595.0,595.0,595.0,-1,2016-04-18,2016,4,18,642.1666666666666,42.06487873498092,41.995352051476445,-71.7741935483871
04/19/2016,612.0,612.0,612.0,1,2016-04-19,2016,4,19,642.9,41.309053862738466,46.27973794496366,-56.66666666666667
04/20/2016,599.0,599.0,599.0,-1,2016-04-20,2016,4,20,643.2,40.94268491777264,43.626044579948484,-25.0
04/21/2016,605.0,605.0,605.0,1,2016-04-21,2016,4,21,643.8666666666667,40.11684084696071,45.188207880522874,-13.461538461538462
04/24/2016,630.0,630.0,630.0,1,2016-04-24,2016,4,24,645.2,38.91139359781765,51.24993725972571,-0.0
04/25/2016,640.0,640.0,640.0,1,2016-04-25,2016,4,25,646.2,38.357124051698506,53.466757764530925,-0.0
04/26/2016,655.0,655.0,655.0,1,2016-04-26,2016,4,26,646.7,38.371280567814516,56.65102922141564,-0.0
04/27/2016,638.0,638.0,638.0,-1,2016-04-27,2016,4,27,644.4333333333333,36.72045688745082,52.284261472159564,-30.357142857142854
04/28/2016,647.0,647.0,647.0,1,2016-04-28,2016,4,28,642.1666666666666,34.22852544330728,54.29295511349495,-14.285714285714285
05/02/2016,638.0,638.0,638.0,-1,2016-05-02,2016,5,2,641.2333333333333,33.93673966147484,51.93831471103043,-34.0
05/03/2016,640.0,640.0,640.0,1,2016-05-03,2016,5,3,640.5,33.70945840868763,52.43202023652827,-60.0
05/04/2016,640.0,640.0,640.0,0,2016-05-04,2016,5,4,639.5,33.245948677221115,52.43202023652827,-88.23529411764706
05/05/2016,632.0,632.0,632.0,-1,2016-05-05,2016,5,5,638.4333333333333,32.94476394306859,50.04708213065221,-100.0
05/08/2016,632.0,632.0,632.0,0,2016-05-08,2016,5,8,637.4,32.63233006570915,50.04708213065221,-100.0
05/09/2016,640.0,640.0,640.0,1,2016-05-09,2016,5,9,637.0666666666667,32.5501558164981,52.5502162788795,-46.66666666666667
05/10/2016,659.0,659.0,659.0,1,2016-05-10,2016,5,10,637.2666666666667,32.66964565352034,57.940764498100904,-0.0
05/11/2016,642.0,642.0,642.0,-1,2016-05-11,2016,5,11,636.8333333333334,32.512155109823176,52.22401740900118,-62.96296296296296
05/12/2016,655.0,655.0,655.0,1,2016-05-12,2016,5,12,636.2333333333333,31.98349071257018,55.814276900589746,-14.814814814814813
05/15/2016,661.0,661.0,661.0,1,2016-05-15,2016,5,15,635.9,31.6591219082296,57.40525716789904,-0.0
